ID,Deck Text,Matched Deck
1,Charmander Charmeleon Charizard ex Pidgey Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Rotom V Lumineon V Fezandipiti ex Cleffa,Charizard ex
2,Gimmighoul Gholdengo ex Origin Forme Palkia V Origin Forme Palkia VSTAR Radiant Greninja Fezandipiti ex Iron Bundle Manaphy,Gholdengo ex
3,Gimmighoul Gholdengo ex Togepi Togekiss Radiant Greninja Manaphy Iron Bundle Fezandipiti ex,Gholdengo ex
4,Dreepy Drakloak Dragapult ex Duskull Duskull Dusclops Dusknoir Rotom V Radiant Alakazam Fezandipiti ex Lumineon V,Dragapult ex
5,Ralts Kirlia Gardevoir ex Munkidori Drifloon Scream Tail Flutter Mane Klefki Radiant Greninja Manaphy,Gardevoir ex
6,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Radiant Charizard Cleffa Dragapult ex Alolan Exeggutor ex Giratina VSTAR Hisuian Goodra VSTAR Kyurem Squawkabilly ex Mew ex Fezandipiti ex,Regidrago VSTAR
7,Klawf Brute Bonnet Terapagos ex Latias ex Radiant Hisuian Sneasler Lumineon V Fezandipiti ex Oranguru V Iron Bundle Bloodmoon Ursaluna ex Pecharunt ex Squawkabilly ex,Klawf Unhinged Scissors
8,Charmander Charmeleon Charizard ex Duskull Dusclops Dusknoir Pidgey Pidgeot ex Rotom V Lumineon V Fezandipiti ex Cleffa Radiant Charizard,Charizard ex
9,Roaring Moon ex Roaring Moon Koraidon Fezandipiti ex Pecharunt ex Iron Bundle Radiant Greninja Lumineon V Squawkabilly ex Latias ex,Roaring Moon ex
10,Charmander Charmeleon Charizard ex Duskull Dusclops Dusknoir Pidgey Pidgeot ex Rotom V Lumineon V Fezandipiti ex Cleffa Radiant Charizard,Charizard ex
11,Miraidon ex Iron Hands ex Raikou V Raichu V Magnemite Magneton Pikachu ex Latias ex Mew ex Fezandipiti ex Squawkabilly ex Lumineon V Iron Bundle,Miraidon ex
12,Miraidon ex Iron Hands ex Raikou V Raichu V Magnemite Magneton Pikachu ex Rotom V Bloodmoon Ursaluna ex Latias ex Mew ex Fezandipiti ex Squawkabilly ex Lumineon V Radiant Greninja Iron Bundle,Miraidon ex
13,Gimmighoul Gholdengo ex Togepi Togekiss Fezandipiti ex Radiant Greninja Manaphy Iron Bundle,Gholdengo ex
14,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Hisuian Goodra VSTAR Alolan Exeggutor ex Kyurem Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
15,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Hoothoot Noctowl Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
16,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Hisuian Goodra VSTAR Alolan Exeggutor ex Kyurem Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
17,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Kyurem Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard Hawlucha,Regidrago VSTAR
18,Regidrago V Regidrago VSTAR Teal Mask Ogerpon ex Dragapult ex Giratina VSTAR Hisuian Goodra VSTAR Alolan Exeggutor ex Kyurem Squawkabilly ex Fezandipiti ex Mew ex Cleffa Radiant Charizard,Regidrago VSTAR
19,Charmander Charmeleon Charizard ex Pidgey Pidgeot ex Duskull Dusclops Dusknoir Radiant Charizard Cleffa Lumineon V Rotom V Fezandipiti ex,Charizard ex
