ID,Rank,Category,Copies,Card Name,Set
1,1,Pokémon,3,Charmander,MEW 4
1,1,Pokémon,1,Charmeleon,MEW 5
1,1,Pokémon,2,Charizard ex,OBF 125
1,1,Pokémon,1,Pidgey,OBF 162
1,1,Pokémon,1,Pidgey,MEW 16
1,1,Pokémon,2,Pidgeot ex,OBF 164
1,1,Pokémon,2,Duskull,BRS 60
1,1,Pokémon,1,Dusclops,SFA 19
1,1,Pokémon,1,Dusknoir,SFA 20
1,1,Pokémon,1,Radiant Charizard,CRZ 20
1,1,Pokémon,1,Rotom V,LOR 58
1,1,Pokémon,1,Lumineon V,BRS 40
1,1,Pokémon,1,Fezandipiti ex,SFA 38
1,1,Pokémon,1,Cleffa,OBF 80
1,1,Trainer,3,Arven,OBF 186
1,1,Trainer,2,Iono,PAL 185
1,1,Trainer,2,Boss's Orders,PAL 172
1,1,Trainer,1,Professor Turo's Scenario,PAR 171
1,1,Trainer,1,Briar,SCR 132
1,1,Trainer,1,Thorton,LOR 167
1,1,Trainer,4,Buddy-Buddy Poffin,TEF 144
1,1,Trainer,4,Rare Candy,SVI 191
1,1,Trainer,4,Ultra Ball,SVI 196
1,1,Trainer,2,Nest Ball,SVI 181
1,1,Trainer,2,Counter Catcher,PAR 160
1,1,Trainer,2,Super Rod,PAL 188
1,1,Trainer,1,Night Stretcher,SFA 61
1,1,Trainer,1,Unfair Stamp,TWM 165
1,1,Trainer,1,Pal Pad,SVI 182
1,1,Trainer,1,Lost Vacuum,LOR 162
1,1,Trainer,1,Defiance Band,SVI 169
1,1,Trainer,1,Forest Seal Stone,SIT 156
1,1,Trainer,2,PokéStop,PGO 68
1,1,Energy,5,Fire Energy,SVE 10
2,2,Pokémon,4,Gimmighoul,SSP 97
2,2,Pokémon,4,Gholdengo ex,PAR 139
2,2,Pokémon,1,Origin Forme Palkia V,ASR 39
2,2,Pokémon,1,Origin Forme Palkia VSTAR,ASR 40
2,2,Pokémon,1,Radiant Greninja,ASR 46
2,2,Pokémon,1,Fezandipiti ex,SFA 38
2,2,Pokémon,1,Iron Bundle,PAR 56
2,2,Pokémon,1,Manaphy,BRS 41
2,2,Trainer,3,Irida,ASR 147
2,2,Trainer,3,Ciphermaniac's Codebreaking,TEF 145
2,2,Trainer,2,Boss's Orders,PAL 172
